[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[cg_emit_eq] e1=NonReloc info=28 e2=NonReloc info=29 r1=28 r2=29 freereg=30 nactvar=27 line=290
[cg_emit_eq] e1=NonReloc info=31 e2=NonReloc info=32 r1=31 r2=32 freereg=33 nactvar=30 line=294
[cg_emit_eq] e1=NonReloc info=29 e2=NonReloc info=31 r1=29 r2=31 freereg=32 nactvar=30 line=294
[cg_emit_eq] e1=NonReloc info=31 e2=NonReloc info=32 r1=31 r2=32 freereg=33 nactvar=30 line=296
[cg_emit_eq] e1=NonReloc info=29 e2=NonReloc info=31 r1=29 r2=31 freereg=32 nactvar=30 line=296
[cg_emit_eq] e1=NonReloc info=31 e2=NonReloc info=32 r1=31 r2=32 freereg=33 nactvar=30 line=300
[cg_emit_eq] e1=NonReloc info=33 e2=NonReloc info=34 r1=33 r2=34 freereg=35 nactvar=32 line=308
[cg_emit_eq] e1=NonReloc info=33 e2=NonReloc info=34 r1=33 r2=34 freereg=35 nactvar=32 line=308
[cg_emit_eq] e1=NonReloc info=33 e2=NonReloc info=34 r1=33 r2=34 freereg=35 nactvar=32 line=309
[cg_emit_eq] e1=NonReloc info=35 e2=NonReloc info=36 r1=35 r2=36 freereg=37 nactvar=34 line=313
[cg_emit_eq] e1=NonReloc info=35 e2=NonReloc info=36 r1=35 r2=36 freereg=37 nactvar=34 line=313
[cg_emit_eq] e1=NonReloc info=35 e2=KInt info=0 r1=35 r2=172 freereg=36 nactvar=34 line=315
[cg_emit_eq] e1=NonReloc info=28 e2=NonReloc info=25 r1=28 r2=25 freereg=29 nactvar=27 line=334
[cg_emit_eq] e1=NonReloc info=28 e2=KInt info=0 r1=28 r2=157 freereg=29 nactvar=27 line=335
[cg_emit_eq] e1=NonReloc info=28 e2=NonReloc info=29 r1=28 r2=29 freereg=30 nactvar=27 line=336
[cg_emit_eq] e1=NonReloc info=28 e2=NonReloc info=29 r1=28 r2=29 freereg=30 nactvar=27 line=336
[cg_emit_eq] e1=NonReloc info=26 e2=NonReloc info=28 r1=26 r2=28 freereg=29 nactvar=27 line=336
[cg_emit_eq] e1=NonReloc info=28 e2=NonReloc info=29 r1=28 r2=29 freereg=30 nactvar=27 line=339
[cg_emit_eq] e1=NonReloc info=2 e2=KInt info=0 r1=2 r2=128 freereg=5 nactvar=4 line=351
[cg_emit_eq] e1=NonReloc info=3 e2=KInt info=0 r1=3 r2=132 freereg=5 nactvar=4 line=351
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=128 freereg=7 nactvar=5 line=355
[cg_emit_eq] e1=NonReloc info=3 e2=KInt info=0 r1=3 r2=129 freereg=6 nactvar=5 line=355
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=137 freereg=7 nactvar=5 line=355
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=137 freereg=7 nactvar=5 line=357
[cg_emit_eq] e1=NonReloc info=3 e2=NonReloc info=2 r1=3 r2=2 freereg=6 nactvar=5 line=357
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=357
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=127 freereg=10 nactvar=9 line=364
[cg_emit_eq] e1=NonReloc info=7 e2=KInt info=0 r1=7 r2=128 freereg=10 nactvar=9 line=364
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=127 freereg=10 nactvar=9 line=366
[cg_emit_eq] e1=NonReloc info=7 e2=KInt info=0 r1=7 r2=128 freereg=10 nactvar=9 line=366
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=127 freereg=10 nactvar=9 line=368
[cg_emit_eq] e1=NonReloc info=7 e2=KInt info=0 r1=7 r2=132 freereg=10 nactvar=9 line=368
[cg_emit_eq] e1=NonReloc info=8 e2=KInt info=0 r1=8 r2=128 freereg=10 nactvar=9 line=368
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=127 freereg=10 nactvar=9 line=370
[cg_emit_eq] e1=NonReloc info=7 e2=KInt info=0 r1=7 r2=132 freereg=10 nactvar=9 line=370
[cg_emit_eq] e1=NonReloc info=8 e2=NonReloc info=10 r1=8 r2=10 freereg=11 nactvar=9 line=370
[cg_emit_eq] e1=NonReloc info=8 e2=KInt info=0 r1=8 r2=133 freereg=10 nactvar=9 line=374
[cg_emit_eq] e1=NonReloc info=5 e2=KInt info=0 r1=5 r2=137 freereg=10 nactvar=9 line=378
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=138 freereg=10 nactvar=9 line=378
[cg_emit_eq] e1=NonReloc info=7 e2=KInt info=0 r1=7 r2=139 freereg=10 nactvar=9 line=378
[cg_emit_eq] e1=NonReloc info=8 e2=NonReloc info=10 r1=8 r2=10 freereg=11 nactvar=9 line=378
[cg_emit_eq] e1=NonReloc info=5 e2=KInt info=0 r1=5 r2=137 freereg=10 nactvar=9 line=380
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=128 freereg=10 nactvar=9 line=380
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=382
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=382
[cg_emit_eq] e1=NonReloc info=10 e2=KInt info=0 r1=10 r2=129 freereg=11 nactvar=9 line=383
[cg_emit_eq] e1=NonReloc info=10 e2=KInt info=0 r1=10 r2=137 freereg=11 nactvar=9 line=384
[cg_emit_eq] e1=NonReloc info=10 e2=KInt info=0 r1=10 r2=137 freereg=11 nactvar=9 line=385
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=387
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=388
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=389
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=390
